"","Country","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR"
"116","Micronesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"117","Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","5","4","4","3","3","2","2","2","2","3","3","3","3","3","3","4","3","3","3","3","3","3","3"
"118","Monaco","4","4","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"119","Mongolia","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","4","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1"
"120","Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3","3","3","3","3","3","3","3"
"121","Morocco","5","5","5","5","5","3","3","4","4","4","4","4","4","4","4","4","4","4","5","6","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"122","Mozambique",NA,NA,NA,"6","7","7","7","7","7","7","7","6","6","6","6","6","6","6","6","6","6","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4"
"123","Myanmar","7","7","7","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","6","6","6"
"124","Namibia","6","6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"125","Nauru","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2"
"126","Nepal","6","6","6","6","6","6","6","5","3","3","3","3","3","3","3","3","4","4","2","2","3","3","3","3","3","3","3","3","3","4","5","5","6","5","5","4","4","4","4","4","4","3","3"
"127","Netherlands","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"128","New Zealand","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"129","Nicaragua","4","5","5","5","5","5","5","5","5","6","6","5","5","5","5","5","5","3","3","4","4","4","4","3","3","2","3","3","3","3","3","3","3","3","3","4","4","4","5","5","4","4","4"
"130","Niger","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","6","7","6","6","5","3","3","3","7","7","7","5","4","4","4","4","3","3","3","3","3","5","5","3","3","3","3","3"
"131","Nigeria","6","6","6","6","6","5","5","2","2","2","2","7","7","7","6","5","6","5","5","5","7","7","7","7","7","6","4","4","4","4","4","4","4","4","4","5","5","4","4","4","4","4","4"
"132","North Korea","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
